CIP7;CIP13;EAN13;Prix A HT;Remise1;Libellé;Colisage
7853154;3401278531543;8716900572272;4.49;0;ADIARIL Pdr sbuv réhydrat 10Sach/7g;1
3042565;3400930425657;;6.49;0.37;ANGI-SPRAY MAL DE GORGE CHLORHEXIDINE/LIDOCAÏNE Collutoire Fl/40ml;1
3911191;3400939111919;;2.67;0;THYROZOL 10 mg Cpr pell séc Plq/30;1
3911245;3400939112459;;2.97;0;THYROZOL 20 mg Cpr pell séc Plq/30;1
4242148;3401342421480;3094904242144;6.95;0.28;PARODONTAX Bain bch quot Fl/500ml;1
3939522;3400939395227;;34.55;0.15;NICOTINELL 2 mg Gom à mâcher médic sans sucre fruit Plq/204;1
3939545;3400939395456;;34.55;0.15;NICOTINELL 2 mg Gom à mâcher médic menthe fraîcheur sans sucre Plq/204;1
6135362;3401361353625;;13.35;0.19;SEBIUM PORE REFINER Concentré correct T/30ml;1
3917213;3400939172132;;7.19;0.22;RHINALLERGY Cpr à sucer Plq/40;1
5185079;3401351850790;3282779416139;9.5;0.15;CICALFATE Cr mains T/100ml;1
6034023;;8716900561511;13.54;0.34;FORTIMEL PROTEIN Nutrim banane 4Bout/200ml;1
2065073;3401520650732;3661434005442;10.7;0.19;URIAGE BARIEDERM FISSURES Stick anti-crev 2;1
2106984;3401521069847;;5.2;0.25;COALGAN Pans adh 72x25mm ; 72x35mm B/12;1
3931408;3400939314082;;414.93;0;PREZISTA 600 mg Cpr pell Fl/60;1
4240770;3401542407703;7612013188892;10.9;0.25;MICROPUR F MF1 Cpr antis désif eau B/50;1
3909490;3400939094908;;31.87;0.14;QLAIRA Cpr pell 3Plq/28;1
3896971;3400938969719;;19.69;0;XAMIOL 50 µg/0,5 mg/g Gel Fl/60g;1
4205242;3401042052427;3663555003536;10.88;0.21;COMPEED Patch bouton fièvre Total Care B/15;1
2549434;3401325494340;;18.6;0.15;SAFORELLE Sol soin lav doux 2Fl/500ml;1
3916900;3400939169002;;16.65;0;CRESTOR 5 mg Cpr pell Plq/90;1
3916946;3400939169460;;5.55;0;CRESTOR 10 mg Cpr pell Plq/30;1
3916975;3400939169750;;5.55;0;CRESTOR 20 mg Cpr pell Plq/30;1
3916998;3400939169989;;16.65;0;CRESTOR 20 mg Cpr pell Plq/90;1
