CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;5060006581168;A&D Medical;Non renseigné;A&D UA 611 IHB Tensiomètre bras 30 mémoires;0.2;32.9;0.4;10;1
;;5060006581274;A&D Medical;Non renseigné;A&D UA1020W Tensiomètre brassard 22-42cm;0.2;72.9;0.4;1;1
;;5060006581533;A&D Medical;Non renseigné;A&D UB525 Tensiomètre poignet;0.2;24.9;0.4;1;1
;;5060006581670;A&D Medical;Non renseigné;A&D UA-611Plus Tensiomètre brassard 22-32cm;0.2;35.5;0.4;1;1
;;5060006582318;A&D Medical;Non renseigné;A&D UP-200 Oxymètre de pouls adultes & enfants;0.2;23.5;0.4;1;1
;;3282770153002;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Gel mouss nett purif 400ml;0.2;10.9;0.15;12;1
;;3282770388855;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC HYDRA Cr compensat T/40ml;0.2;13;0.15;1;1
;;3282770388916;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC GLOBAL Cr soin imp 40ml;0.2;13;0.15;1;1
;;3282770209648;A-Derma;Cutalgan;ADERMA CUTALGAN Spray Fl/100ml;0.2;9.6;0.15;1;1
6038727;;3282770104783;A-Derma;Cytelium;ADERMA CYTELIUM S Lot P irrit réact Spr/100ml;0.2;8.9;0.15;56;1
6038728;;3282770104790;A-Derma;Cytelium;ADERMA CYTELIUM Lot P irrit réact Fl/100ml;0.2;8.7;0.15;45;1
;;3282770141962;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/100ml;0.2;12.8;0.15;48;1
;;3282770143683;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Bme lèv répar 15ml;0.2;6.3;0.15;144;1
;;3282770144291;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/50ml;0.2;8.1;0.15;6;1
;;3282770145014;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Fl/100ml;0.2;8.5;0.15;48;1
;;3282770145021;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Flp/200ml;0.2;10.8;0.15;24;1
;;3282770143744;A-Derma;Exomega;ADERMA EXOMEGA Gel moussant Fl/500ml;0.2;13.3;0.15;12;1
;;3282770144116;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl/200ml;0.2;10.3;0.15;24;1
;;3282770144314;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl ppe/500ml;0.2;13.3;0.15;12;1
;;3282770149661;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/50ml;0.2;10.8;0.15;1;1
;;3282770149678;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/200ml;0.2;13.8;0.15;12;1
;;3282770149685;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll Fl ppe/400ml;0.2;16.3;0.15;12;1
;;3282770149715;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll T/200ml;0.2;13.8;0.15;12;1
;;3282770149722;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll 400ml;0.2;16.3;0.15;12;1
;;3282770149746;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll 400ml;0.2;16.3;0.15;12;1
;;3282770149753;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll T/200ml;0.2;13.8;0.15;12;1
;;3282770388701;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émoll R/500ml;0.2;11.6;0.15;6;1
;;3282770393842;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 200ml Nf;0.2;10.3;0.15;24;1
;;3282770393859;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 500ml Nf;0.2;13.3;0.15;12;1
;;3282770142341;A-Derma;Les Indispensables;ADERMA Cr universelle hydratante T/50ml;0.2;10;0.15;1;1
;;3282770396522;A-Derma;Les Indispensables;ADERMA Gel douche surgras visage et corps Fl pompe/750ml;0.2;10;0.15;12;1
