CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;3400930042489;;ABBVIE;Non renseigné;HUMIRA 40 mg/0,4 ml S inj en seringue préremplie 2Ser/0,4ml;0.021;350.02;0;21;1
;3400930116494;;ABBVIE;Non renseigné;HUMIRA 80 mg S inj en seringue préremplie Ser/0,8ml+Tamp;0.021;350.02;0;1;1
;3400930126165;;ABBVIE;Non renseigné;HUMIRA 20 mg S inj en seringue préremplie 2Ser/0,2ml+2Tamp;0.021;194.18;0;1;1
2756162;3400927561627;;ABBVIE;Non renseigné;GANFORT 0,3 mg/ml + 5 mg/ml Collyre sol récip unidose 30unid;0.021;7.4;0;64;1
3317080;3400933170806;;ABBVIE;Non renseigné;EXOCINE 0,3 % Collyre Fl/5ml;0.021;2.29;0;0;1
3342959;3400933429591;;ABBVIE;Non renseigné;ACULAR 0,5 % Collyre Fl/5ml;0.021;2.17;0;288;1
3379744;3400933797447;;ABBVIE;Non renseigné;CELLUVISC 4 mg/0,4 ml Collyre 30unid/0,4ml;0.021;2.46;0;64;1
3379750;3400933797508;;ABBVIE;Non renseigné;CELLUVISC 4 mg/0,4 ml Collyre 90Unid/0,4ml;0.021;6.85;0;16;1
3440751;3400934407512;;ABBVIE;Non renseigné;NORVIR 100 mg Cpr pell Fl/30;0.021;15.66;0;0;1
3454730;3400934547300;;ABBVIE;Non renseigné;ALPHAGAN 0,2 % (2 mg/ml) Collyre sol Fl/5ml;0.021;5.03;0;0;1
3592202;3400935922021;;ABBVIE;Non renseigné;LUMIGAN 0,3 mg/ml Collyre en sol Fl/3ml;0.021;8.22;0;0;1
3598529;3400935985293;;ABBVIE;Non renseigné;LUMIGAN 0,1 mg/ml Collyre sol Fl/3ml;0.021;4.86;0;160;1
3622653;3400936226531;;ABBVIE;Non renseigné;PURIVIST 0,5 mg/ml Collyre sol Fl/5ml;0.021;4.68;0;0;1
3717224;3400937172240;;ABBVIE;Non renseigné;COMBIGAN 2 mg/ml + 5 mg/ml Collyre sol Fl/5ml;0.021;5.34;0;144;1
3757413;3400937574136;;ABBVIE;Non renseigné;GANFORT 0,3 mg/ml + 5 mg/ml Collyre sol Fl/3ml;0.021;7.4;0;288;1
3760993;3400937609937;;ABBVIE;Non renseigné;KALETRA 200 mg/50 mg Cpr pell Fl PEHD/120;0.021;161.15;0;1;1
4940711;3400949407118;;ABBVIE;Non renseigné;OZURDEX 700 µg Implant intravitr Sach;0.021;846.63;0;20;1
;3400930037577;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ARIPIPRAZOLE ACCORD 5 mg Cpr Plq/28;0.021;8.74;0.4;1;1
;3400930037614;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ARIPIPRAZOLE ACCORD 10 mg Cpr Plq/28;0.021;8.74;0.4;100;1
;3400930037652;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ARIPIPRAZOLE ACCORD 15 mg Cpr Plq/28;0.021;8.74;0.4;120;1
;3400930038864;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;QUETIAPINE ACCORD LP 50 mg Cpr LP Plq/30;0.021;4.28;0.4;1;1
;3400930040133;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;PREGABALINE ACCORD 50 mg Gél Plq/84;0.021;4.87;0.4;1;1
;3400930040171;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;PREGABALINE ACCORD 100 mg Gél Plq/84;0.021;7.24;0.4;1;1
;3400930044186;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;DUTASTERIDE ACCORD 0,5 mg Caps molle Plq/30;0.021;3.49;0.4;1;1
;3400930044520;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;VORICONAZOLE ACCORD 50 mg Cpr pell Plq/28x1;0.021;62.29;0.4;1;1
;3400930053775;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ROSUVASTATINE ACCORD 5 mg Cpr pell Plq alu/90;0.021;5.96;0.4;1;1
;3400930085967;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;EZETIMIBE ACCORD 10 mg Cpr Plq Alu/PVC/Aclar/28;0.021;5.59;0.4;1;1
;3400930086483;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;EPLERENONE ACCORD 25 mg Cpr pell Plq/30x1;0.021;6.56;0.4;1;1
;3400930086490;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;EPLERENONE ACCORD 25 mg Cpr pell Plq/90x1;0.021;18.7;0.4;1;1
;3400930110836;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;SOLIFENACINE ACCORD 5 mg Cpr pell Plq/30;0.021;3.19;0.4;1;1
;3400930110935;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;SOLIFENACINE ACCORD 10 mg Cpr pell Plq/30;0.021;3.19;0.4;1;1
;3400930115664;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;TELMISARTAN/HYDROCHLOROTHIAZIDE ACCORD 80 mg/25 mg Cpr Plq/90;0.021;5.4;0.4;1;1
;3400930118757;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ENTECAVIR ACCORD 0,5 mg Cpr pell Plq/30;0.021;68.62;0.4;1;1
;3400930119150;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;LACOSAMIDE ACCORD 100 mg Cpr pell Plq/56;0.021;12.23;0.4;1;1
;3400930119259;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;LACOSAMIDE ACCORD 200 mg Cpr pell Plq/56;0.021;24.46;0.4;1;1
;3400930137383;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;RASAGILINE ACCORD 1 mg Cpr Plq/30;0.021;17.45;0.4;1;1
;3400930157640;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;PELGRAZ 6 mg S inj en seringue préremplie Ser+Tamp;0.021;339.26;0;1;1
;3400930171059;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;FULVESTRANT ACCORD 250 mg S inj en seringue préremplie 2Ser;0.021;96;0.4;1;1
;3400930187951;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;PELGRAZ 6 mg S inj en stylo prérempli Stylo + Tamp;0.021;339.26;0;1;1
;3400930228265;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;DEFERASIROX ACCORD 180 mg Cpr pell Plq/30x1;0.021;68.48;0.4;1;1
;3400930236130;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;METFORMINE ACCORD 850 mg Cpr pell Plq/90;0.021;2.63;0.4;1;1
;3400930243473;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ABIRATERONE ACCORD 500 mg Cpr pell Plq/60x1;0.021;449.62;0.4;1;1
;3400930258330;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;ORGOVYX 120 mg Cpr pell Fl/30;0.021;79.74;0;100;1
;3400930278345;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;RIVAROXABAN ACCORD 10 mg Cpr pell Plq/30;0.021;6.41;0.4;1;1
;3400930278352;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;RIVAROXABAN ACCORD 15 mg Cpr pell Plq/28;0.021;5.98;0.4;160;1
;3400930278369;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;RIVAROXABAN ACCORD 20 mg Cpr pell Plq/28;0.021;5.98;0.4;160;1
;3400930280324;;ACCORD HEALTHCARE FRANCE SAS;Non renseigné;DEGARELIX ACCORD 80 mg Pdre/solv p sol inj Fl+ser/4,2ml;0.021;35.91;0.05;1;1
