Gamme;Nom;Laboratoire;cip7;cip13;EAN;Prix;Remise client;Prix remisé;Quantité minimum;Quantité par multiple
APAISYL XPERT;Lotion traitante poux & lente Fl/200ml;PROCTER & GAMBLE HEALTH;5441677;3401554416779;3401554416779;27.6;24;20.9760;3.0000;0.0000
APAISYL XPERT;Lotion traitement poux lente Spr/100ml;PROCTER & GAMBLE HEALTH;9782978;3401597829789;3401597829789;20;24;15.2000;3.0000;0.0000
NODE;Shampoing fluide non détergent Fl/400ml;BIODERMA;7369719;3401573697197;3401573697197;8.05;20;6.4400;1.0000;0.0000
NODE;G Shampoing fluide Fl/400ml;BIODERMA;7933350;3401579333501;3401579333501;9.88;18;8.1000;1.0000;0.0000
NODE;K Émulsion état squameux Tube/100ml;BIODERMA;7794003;3401577940039;3401577940039;13.01;18;10.6700;1.0000;0.0000
NODE;K Shampoing état squameux Tube/150ml;BIODERMA;7793995;3401577939958;3401577939958;11.73;18;9.6200;1.0000;0.0000
KLORANE CAPILLAIRE;Shampooing à la Grenade Fl/400ml;KLORANE;6253714;;3282770143577;10.06;14;8.6500;1.0000;0.0000
KLORANE CAPILLAIRE;Shampooing sec Avoine Rotopoudre/50g;KLORANE;6077060;;3282770200904;8.01;14;6.8900;1.0000;0.0000
KLORANE CAPILLAIRE;Baume après-shampoing au lait d'Avoine Tube/200ml;KLORANE;6257739;;3282770145311;9.26;14;7.9600;1.0000;0.0000
KERIUM;Doux extrême shampooing-gel physiologique Fl/400ml;LA ROCHE POSAY;6034388;3401560343885;3337872414282;10.5;12;9.2400;1.0000;0.0000
COLD CREAM;Pain surgras duo visage&corps 2x100g;AVENE;7515977;3401375159770;3282779255059;8.34;15;7.0890;1.0000;0.0000
DERM HYDRALIN;Savon liquide dermato Fl/200ml;BAYER CONSUMER HEALTH;7464607;3401374646073;3401374646073;12;14;10.3200;3.0000;0.0000
ATODERM;RUPTURE LABO (INDETERMINEE) Gel douche Fl pompe/1L;BIODERMA;9937292;3401399372926;3401399372926;12.7;20;10.1600;1.0000;0.0000
ATODERM;Intensive gel moussant Fl pompe/500ml;BIODERMA;6096975;3401560969757;3401560969757;11.94;18;9.7900;1.0000;0.0000
ATODERM;Gel douche Tube/200ml;BIODERMA;9937323;3401399373237;3401399373237;6.35;18;5.2100;1.0000;0.0000
SEBIUM;Gel moussant purifiant Fl pompe/500ml;BIODERMA;9927709;3401399277092;3401399277092;12.82;20;10.2600;1.0000;0.0000
NOBACTER;Savon peaux sensibles Pain/100g;EUCERIN;7385612;3401373856121;4005900644107;4.65;25;3.4875;1.0000;0.0000
EFFACLAR;Gel moussant purifiant Tube/200ml;LA ROCHE POSAY;4888850;3401348888508;3337872411083;9.1;16;7.6400;1.0000;0.0000
LIPIKAR;Crème lavante surgras liquide Fl pompe/400ml;LA ROCHE POSAY;4368820;3401343688202;3433422408586;12.35;16;10.3700;1.0000;0.0000
LIPIKAR;Syndet AP+ Crème lavante Fl pompe/400ml;LA ROCHE POSAY;6015276;;3337875537315;13.1;16;11.0000;1.0000;0.0000
EFFACLAR;Gel moussant purifiant Fl /400ml;LA ROCHE POSAY;9601675;3401396016755;3337872411991;11.8;16;9.9100;1.0000;0.0000
SAVON LIQUIDE;Fleur d'Oranger Fl/1L;LES PETITS BAINS DE PROVENCE;;;3760169126467;6.69;39;4.0809;1.0000;0.0000
SAVON LIQUIDE;Miel Vanille Fl/1L;LES PETITS BAINS DE PROVENCE;;;3760169126481;6.69;39;4.0809;1.0000;0.0000
GEL DOUCHE SURGRAS SANS SAVON;Amande Fl/1L;LES PETITS BAINS DE PROVENCE;;;3760169126535;6.69;39;4.0800;1.0000;0.0000
GEL DOUCHE SURGRAS SANS SAVON;Verveine Fl/1L;LES PETITS BAINS DE PROVENCE;;;3760169126542;6.69;39;4.0800;1.0000;0.0000
GEL DOUCHE SURGRAS SANS SAVON;Fleur de coton Fl/1L;LES PETITS BAINS DE PROVENCE;;;3760169126528;6.69;39;4.0800;1.0000;0.0000
GEL DOUCHE SURGRAS;Crème de lait Tube/200ml;ROGE CAVAILLES;7089138;3401570891383;3596490000141;5.34;20;4.2700;1.0000;0.0000
SURGRAS LIQUIDE DERMATOLOGIQUE;Gel Nettoyant Tube/50ml;URIAGE;8148883;;3661434003264;2.55;19;2.0700;1.0000;0.0000
XEMOSE C8+;Syndet nettoyant doux Tube/200ml;URIAGE;4207347;3401342073474;3661434000171;9.7;19;7.8570;1.0000;0.0000
HYGIÈNE & SOINS;Pain surgras /100g;URIAGE;6062864;3401360628649;3661434003844;4.3;20;3.4400;1.0000;0.0000
HYGIENE CORPS;Gel surgras dermatologique Fl pompe/1L;URIAGE;4390989;3401343909895;3661434002960;12;19;9.7200;1.0000;0.0000
DERMO PROTECTION;Cire froide visage bandes Bte/6;KLORANE;5201909;3401352019097;3282779417075;7.51;14;6.4600;1.0000;0.0000
DERMO PROTECTION;RUPTURE LABO (INDETERMINEE) Crème dépilatoire Tube/75ml;KLORANE;5150595;3401351505959;3282779398060;8.71;14;7.4906;1.0000;0.0000
CREME DEPILATOIRE;Dermo-tolérance Tube/150ml;VICHY;7336418;;3337871305802;11.2;12;9.8560;1.0000;0.0000
ATOPICONTROL;Huile bain & douche Fl/400ml;EUCERIN;4137138;;4005800213861;12.6;22;9.8280;1.0000;0.0000
XEMOSE C8+;Huile lavante apaisante Fl pompe/1L;URIAGE;8145933;;3661434003370;18.5;19;14.9850;1.0000;0.0000
XEMOSE C8+;Huile lavante apaisante Tube/200ml;URIAGE;2941801;;3661434003004;9.7;19;7.8570;1.0000;0.0000
EXOMEGA CONTROL;Crème émolliente Fl pompe/400ml;A-DERMA;6285436;;3282770149685;16.02;13;13.9374;1.0000;0.0000
EXOMEGA CONTROL;Baume émollient anti-grattage Fl pompe/400ml;A-DERMA;;;3282770149722;16.02;13;13.9374;1.0000;0.0000
ATODERM;PP Baume peaux très sèches Fl pompe/500ml;BIODERMA;4065261;3401340652619;3401340652619;17.88;18;14.6600;1.0000;0.0000
CICABIAFINE;Lait hydratant corps peaux sèches Tube/200ml;KENVUE - JOHNSON ET JOHNSON;4220885;3401342208852;3574660450743;12.53;20;10.0200;3.0000;0.0000
CICABIAFINE;Baume hydratant corps Tube/200ml;KENVUE - JOHNSON ET JOHNSON;4220879;3401342208791;3574660450705;14.03;20;11.2200;3.0000;0.0000
CICABIAFINE;Baume hydratant corps Fl pompe/400ml;KENVUE - JOHNSON ET JOHNSON;9514060;3401595140602;3574660502510;18.5;20;14.8000;3.0000;0.0000
CICABIAFINE;Crème hydratante anti-irritations Tube/200ml;KENVUE - JOHNSON ET JOHNSON;9514048;3401395140482;3574660504279;14.42;20;11.5400;3.0000;0.0000
CICABIAFINE;Lait hydratant corps peaux sèches Fl pompe/400ml;KENVUE - JOHNSON ET JOHNSON;9671552;3401596715526;3574660572254;15.94;20;12.7500;3.0000;0.0000
XEMOSE C8+;Crème relipidante anti-irritations Tube/200ml;URIAGE;6004308;;3661434004841;12.5;19;10.1250;1.0000;0.0000
XEMOSE C8+;Crème relipidante anti-irritations Fl pompe/400ml;URIAGE;6004309;;3661434004858;17.4;19;14.0940;1.0000;0.0000
PERCUTAFEINE;Gel amincissant local à 5% de caféine tube/200ml;PIERRE FABRE MEDICAL CARE;3462882;3400934628825;3400934628825;16.05;20;12.8400;1.0000;0.0000
DEODORANT;Physiologique 24H Roll-on/50ml;LA ROCHE POSAY;9631937;3401396319375;3337872412158;8.3;12;7.3000;1.0000;0.0000
HYGIÈNE & SOINS;Déodorant douceur Roll-on/50ml;URIAGE;2106441;;3661434002687;7.9;20;6.3200;1.0000;0.0000
DEODORANT;Anti-transpirant 48h roll-on 2Fl/50ml;VICHY;2593180;3401325931807;3433425000596;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Anti-transpirant peau sensible roll-on 2Fl/50ml;VICHY;2593168;3401325931685;3337871324728;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Crème anti-transpirante 7 jours Tube/30ml;VICHY;7710182;3401377101821;3337871310455;8.6;12;7.5680;1.0000;0.0000
DEODORANT;Anti-transpirant aérosol 2Spr/125ml;VICHY;2535662;3401325356624;3337871397845;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Minéral 48h roll-on Fl/50ml;VICHY;6035677;;3337875553278;8.15;12;7.1720;1.0000;0.0000
DEODORANT;Détranspirant intensif 72h 2Roll-on/50ml;VICHY;2631414;3401326314142;3337871324711;17.2;19;13.9300;1.0000;0.0000
DEODORANT;Anti-traces aérosol 2Spr/125ml;VICHY;2657649;;3433425095417;16.3;19;13.2000;1.0000;0.0000
DEODORANT;Anti-traces roll-on 2Fl/50ml;VICHY;2657632;;3433425095462;16.3;19;13.2000;1.0000;0.0000
PAPIERS d'ARMENIE;Parfum Rose;PAPIER D ARMENIE;9615252;3401596152529;3401596152529;3.19;5;3.0300;1.0000;0.0000
HOMME;Baume après rasage Tube/75ml;AVENE;4330705;3401343307059;3282779003889;15.32;15;13.0200;1.0000;0.0000
NOBACTER;Gel de rasage peaux sensibles Spr/150ml;EUCERIN;6243102;4005900176868;4005900644084;9.1;25;6.8250;1.0000;0.0000
NOBACTER;Mousse à raser peaux sensibles Fl pompe/150ml;EUCERIN;7385598;3401373855988;4005900644077;8.3;25;6.2250;1.0000;0.0000
CICALFATE;Crème mains réparatrice Tube/100ml;AVENE;5185079;3401351850790;3282779416139;9.26;15;7.8700;1.0000;0.0000
NEUTROGENA;Crème mains non parfumée Tube/50ml;KENVUE - JOHNSON ET JOHNSON;7684177;3401376841773;8002110383709;6.6;20;5.2800;3.0000;0.0000
NEUTROGENA;Crème mains hydratante concentrée Tube/50ml;KENVUE - JOHNSON ET JOHNSON;6546697;3401365466970;4012273123009;6.6;20;5.2800;3.0000;0.0000
XERAND;Crème mains réparatrice Tube/50ml;LA ROCHE POSAY;9759620;3401397596201;3337872412684;5.5;12;4.8400;1.0000;0.0000
CICAPLAST;Crème mains Tube/50ml;LA ROCHE POSAY;6120455;3401561204550;3337872414145;6.6;16;5.5400;1.0000;0.0000
