CIP7;CIP13;EAN;Libellé;Prix HT Catalogue;Prix HT Remisé;Gabarit;Mini de commande;Gamme;Sous Gamme;Seuil n° 1;Prix HT remisé 1;Seuil n° 2;Prix HT remisé 2;Seuil n° 3;Prix HT remisé 3
;3400934744198;;KARDEGIC 75MG PDR SACH 30;1,47;1,29;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400949605538;;IZALGI 500MG/25MG GELU BT16;1,43;1,25;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932005093;;DIPROSTENE INJ SERING1ML 1;3,89;3,71;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;3662042005664;THEALOSE SOL OPHT FL 15ML T;8,34;8,34;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400933247379;;KARDEGIC 160MG PDR SACH 30;1,47;1,29;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400935154958;;LAMALINE GELU BT16;1,28;1,10;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930986080;;SPASFON CPR BT30;1,93;1,75;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930292914;;MOUNJARO 5MG INJ STYLO KWIKPEN 1;221,32;212,71;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400922385624;;HELICIDINE 10% S/S SIR FP250ML;2,52;2,34;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400932905997;;DIFFU-K 600MG GELU BT40;1,79;1,61;;;INTEGRAL TOP 300;Petits prix;;;;;;
;3400930292907;;MOUNJARO 2,5MG INJ STYLO KWIKPEN 1;163,70;157,33;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400934438738;;VENTOLINE 100MCG INH FL200DOS 1;3,24;3,06;;;INTEGRAL TOP 300;Petits prix;;;;;;
;;4028694001468;VISMED MULTI GTT LUBR FL15ML T;8,60;8,60;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;;3401040669580;HYLO CONFORT+COLLY HYD F10ML T;7,02;7,02;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400932162901;;SKIACOL 0,5% COLLY FL0,5ML;7,11;7,11;;;INTEGRAL TOP 300;Non remboursés;;;;;;
;3400930056202;;GARDASIL 9 INJ SRG0,5ML 1+2AIG;107,56;103,38;;;INTEGRAL TOP 300;Coeur de gamme;;;;;;
;3400931384144;;STERDEX POM OPHT UNIDOS 12;1,91;1,73;;;INTEGRAL TOP 300;Petits prix;;;;;;
