CIP13;DESIGNATION;PRIX ACHAT U HT
3400934744198;KARDEGIC 75MG PDR SACH 30;1,29
3400949605538;IZALGI 500MG/25MG GELU BT16;1,25
3400932005093;DIPROSTENE INJ SERING1ML 1;3,71
3662042005664;THEALOSE SOL OPHT FL 15ML T;8,34
3400933247379;KARDEGIC 160MG PDR SACH 30;1,29
3400935154958;LAMALINE GELU BT16;1,10
3400930986080;SPASFON CPR BT30;1,75
3400930292914;MOUNJARO 5MG INJ STYLO KWIKPEN 1;212,71
3400922385624;HELICIDINE 10% S/S SIR FP250ML;2,34
3400932905997;DIFFU-K 600MG GELU BT40;1,61
3400930292907;MOUNJARO 2,5MG INJ STYLO KWIKPEN 1;157,33
3400934438738;VENTOLINE 100MCG INH FL200DOS 1;3,06
4028694001468;VISMED MULTI GTT LUBR FL15ML T;8,60
3401040669580;HYLO CONFORT+COLLY HYD F10ML T;7,02
3400932162901;SKIACOL 0,5% COLLY FL0,5ML;7,11
3400930056202;GARDASIL 9 INJ SRG0,5ML 1+2AIG;103,38
3400931384144;STERDEX POM OPHT UNIDOS 12;1,73
3400931307372;NORMACOL LAVEMENT AD. D.130ML;1,23
3400935528988;IBUFETUM 5% GEL TB60G;1,61
3400926863036;BEXSERO INJ SRG0,5ML 1 +AIG;70,49
3400932676729;ANTADYS 100MG CPR BT15;2,04
3400930348444;EDUCTYL AD. SUP EFFV BT12;1,29
3400931863014;SPASFON LYOC 80MG LYOT ORAL 10;1,12
3400930192757;SLINDA 4MG CPR PELLIC BT28X3;26,16
3400933095253;GAVISCON BUV SUSP SACH10ML 24;3,42
3400931710509;VIT B12 DEL.1000MCG INJ A.2ML 6;2,14
3400935358363;ZYMAD 10000UI/ML BUV GTT 10ML;1,53
3400934796708;DACUDOSES OPHT UNIDOS10ML 24;2,10
3400932340170;FLUVERMAL CPR BT6;2,02
3400930141861;SHINGRIX INJ FL+FL 1;168,37
3400930065556;LEVOTHYROX 25MCG CPR BT30 EXC;0,50
3400930303122;EYLEA 114,3MG/ML INJ SRG 1;351,98
3400930065785;LEVOTHYROX 75MCG CPR BT30 EXC;1,23
3400936251373;SPIFEN 400MG CPR BT20;1,56
3400930028582;REPATHA 140MG INJ STYLO1ML 1;164,42
3400937784214;FLECTOR 1% GEL FL100G;2,24
3401060060718;OPTIVE  FUSION COLLYRE FL 10 ML;5,61
3400926738266;MONOPROST 50MCG/ML COLLY DOS30;7,32
3400934615467;DOLIPRANE 2,4% BUV FV100ML 1;1,08
3400922257204;ELUDRILPERIO BAIN BCHE FL200ML;2,02
