ancien_cip13;ancien_code_barres;garde_cip13;garde_code_barres;regle;libelle
3400942005663;3662042005664;;3662042005664;A groupe 1 : meme code-barres;THEALOSE SOL OPHT FL 15ML T
3400962234135;3662042005664;;3662042005664;A groupe 1 : meme code-barres;THEALOSE SOL OPHT FL 15ML T
3400962378570;7323190234646;;7323190234646;A groupe 2 : meme code-barres;MEPILEX B FLEX EM 5CMX5CM 10 T ref 581220
3400963281503;7323190234646;;7323190234646;A groupe 2 : meme code-barres;MEPILEX B FLEX EM 5CMX5CM 10 T ref 581220
3400942003614;3662042003615;;3662042003615;A groupe 3 : meme code-barres;BLEPHACLEAN COMP STER PAUP 20
3400960253855;3662042003615;;3662042003615;A groupe 3 : meme code-barres;BLEPHACLEAN COMP STER PAUP 20
3400927013034;7613427013039;;7613427013039;A groupe 4 : meme code-barres;ONETOUCH VERIO BANDEL BT100
3400997399427;7613427013039;;7613427013039;A groupe 4 : meme code-barres;ONETOUCH VERIO BANDEL BT100
3400910000669;3534510000665;;3534510000665;A groupe 5 : meme code-barres;BEROCCA ENERGIE CPR BT30
3400962165149;3534510000665;;3534510000665;A groupe 5 : meme code-barres;BEROCCA ENERGIE CPR BT30
3400943901766;3700343901763;;3700343901763;A groupe 6 : meme code-barres;GO ON ONE INJ 60MG/6ML SERING1
3400961266007;3700343901763;;3700343901763;A groupe 6 : meme code-barres;GO ON ONE INJ 60MG/6ML SERING1
3400979931454;4028694000188;;4028694000188;A groupe 7 : meme code-barres;VISMED GEL OCUL LUBR UNID BT20
3400994000180;4028694000188;;4028694000188;A groupe 7 : meme code-barres;VISMED GEL OCUL LUBR UNID BT20
3400967700857;3700567700852;;3700567700852;A groupe 8 : meme code-barres;VERSOL E STER 1000ML FL
3400973958525;3700567700852;;3700567700852;A groupe 8 : meme code-barres;VERSOL E STER 1000ML FL
3400951783811;3700028501455;;3700028501455;A groupe 9 : meme code-barres;SYSTANE ULT UD GTT OCUL BT30 T
